Nadgrupa,Brand,Naziv artikla,Popust
Računala i monitori,LENOVO,"Laptop LENOVO LOQ Essential 83SC0013SC, 39.6cm (15.6"") IPS FHD 144Hz, Intel Core i7-13650HX, 16 GB RAM, 512 GB SSD, nVidia GeForce RTX 5050, FreeDOS",10%
Računala i monitori,LENOVO,"Laptop LENOVO LOQ Essential, 83S0003USC, 39.6cm (15.6"") IPS FHD 144Hz, AMD Ryzen 7 7735HS, 16 GB RAM, 1 TB SSD, nVidia RTX 3050 6GB, FreeDOS",10%
Računala i monitori,HP,"Laptop HP VICTUS Gaming 15-fb3702nm, BA2L4EA, 39.6cm (15.6"") IPS FHD 144Hz, AMD Ryzen 5 8645HS, 16 GB RAM, 512 GB SSD, nVidia RTX 3050 6GB, W11H",10%
Računala i monitori,HP,"Laptop HP Omnibook 7 16-az0003nm, 40.6cm (16"") IPS 2K, Intel Core 5 210H, 16 GB RAM, 512 GB SSD, Intel Graphics, W11P",10%
Računala i monitori,HP,"Laptop HP 15-fc0277nm, CZ9C6EA, 39.6 cm (15.6"") IPS FHD, AMD Ryzen 5 7520U, 16 GB RAM, 512 GB SSD, AMD Radeon Graphics, W11H",10%
Računala i monitori,HP,"Laptop HP OmniBook 5 16-ba1011nm, CP4G4EA, 40.6 cm (16"") OLED 2K, Intel Core 5 120U, 16 GB RAM, 1 TB SSD, Intel Graphics, FreeDOS",10%
Računala i monitori,ACER,"Laptop ACER Aspire 15, NX.JKVEX.00G, 39.6cm (15.6"") IPS FHD, Intel Core i9-13900H, 16 GB RAM, 1 TB SSD, Intel Iris Xe Graphics, No OS",10%
Računala i monitori,ACER,"Laptop ACER Aspire 15, NX.JCJEX.00B, 39.6cm (15.6"") IPS FHD, Intel Core i9-13900H, 16 GB RAM, 1 TB SSD, Intel Iris Xe Graphics, W11H",10%
Računala i monitori,ACER,"Laptop ACER Nitro V 16S AI, NH.QXNEX.008, 40.6cm (16"") IPS WQXGA 180Hz, AMD Ryzen AI 9 365, 32 GB RAM, 1 TB SSD, nVidia RTX 5070 8GB, No OS",10%
Računala i monitori,ACER,"Laptop ACER Aspire Go 15, NX.J7WEX.00Q, 39.6cm (15.6"") IPS Full HD, AMD Ryzen 7 5825U, 16 GB RAM, 1 TB SSD, AMD Radeon Graphics, W11H",10%
Računala i monitori,HP,"HP Smart Tank 720 All-in-One (6UU46A) Color Inkjet MF pisač - Print, Scan, Copy, Duplex, Wi-Fi, USB, CISS, A4",10%
Računala i monitori,HP,"HP Smart Tank 580 All-in-One (1F3Y2A) Color Inkjet MF pisač - Print, Scan, Copy, Wi-Fi, USB, CISS, A4",10%
TV/AV,JBL,Zvučnik prijenosni bluetooth JBL FLIP 7 crni,10%
TV/AV,JBL,Zvučnik prijenosni bluetooth JBL FLIP 7 bijeli,10%
TV/AV,JBL,Zvučnik prijenosni bluetooth JBL FLIP 7 plavi,10%
TV/AV,JBL,Zvučnik prijenosni bluetooth JBL FLIP 7 maskirni,10%
TV/AV,JBL,Zvučnik prijenosni bluetooth JBL FLIP 7 crveni,10%
TV/AV,JBL,Zvučnik prijenosni bluetooth JBL FLIP 7 rozi,10%
TV/AV,JBL,Zvučnik prijenosni bluetooth JBL FLIP 7 ljubičasti,10%
TV/AV,JBL,Zvučnik prijenosni bluetooth JBL GRIP crni,10%
TV/AV,JBL,Zvučnik prijenosni bluetooth JBL GRIP plavi,10%
TV/AV,JBL,Zvučnik prijenosni bluetooth JBL GRIP rozi,10%
TV/AV,JBL,Zvučnik prijenosni bluetooth JBL GRIP ljubičasti,10%
TV/AV,JBL,Zvučnik prijenosni bluetooth JBL GRIP crveni,10%
TV/AV,JBL,Zvučnik prijenosni bluetooth JBL GRIP bijeli,10%
TV/AV,JBL,Zvučnik prijenosni bluetooth JBL GRIP maskirni,10%
